Date,Junction,Vehicles
2015-11-01,1,327
2015-11-01,2,133
2015-11-02,1,546
2015-11-02,2,197
2015-11-03,1,544
2015-11-03,2,217
2015-11-04,1,498
2015-11-04,2,199
2015-11-05,1,464
2015-11-05,2,200
2015-11-06,1,446
2015-11-06,2,199
2015-11-07,1,315
2015-11-07,2,157
2015-11-08,1,320
2015-11-08,2,153
2015-11-09,1,441
2015-11-09,2,210
2015-11-10,1,708
2015-11-10,2,202
2015-11-11,1,540
2015-11-11,2,198
2015-11-12,1,617
2015-11-12,2,210
2015-11-13,1,524
2015-11-13,2,202
2015-11-14,1,352
2015-11-14,2,155
2015-11-15,1,347
2015-11-15,2,148
2015-11-16,1,497
2015-11-16,2,186
2015-11-17,1,582
2015-11-17,2,225
2015-11-18,1,656
2015-11-18,2,232
2015-11-19,1,626
2015-11-19,2,235
2015-11-20,1,499
2015-11-20,2,237
2015-11-21,1,395
2015-11-21,2,164
2015-11-22,1,396
2015-11-22,2,171
2015-11-23,1,558
2015-11-23,2,245
2015-11-24,1,550
2015-11-24,2,233
2015-11-25,1,519
2015-11-25,2,213
2015-11-26,1,531
2015-11-26,2,239
2015-11-27,1,517
2015-11-27,2,207
2015-11-28,1,429
2015-11-28,2,204
2015-11-29,1,425
2015-11-29,2,202
2015-11-30,1,567
2015-11-30,2,241
2015-12-01,1,539
2015-12-01,2,232
2015-12-02,1,640
2015-12-02,2,235
2015-12-03,1,556
2015-12-03,2,219
2015-12-04,1,537
2015-12-04,2,211
2015-12-05,1,388
2015-12-05,2,143
2015-12-06,1,357
2015-12-06,2,142
2015-12-07,1,527
2015-12-07,2,206
2015-12-08,1,497
2015-12-08,2,229
2015-12-09,1,547
2015-12-09,2,231
2015-12-10,1,502
2015-12-10,2,230
2015-12-11,1,519
2015-12-11,2,206
2015-12-12,1,367
2015-12-12,2,164
2015-12-13,1,355
2015-12-13,2,167
2015-12-14,1,550
2015-12-14,2,224
2015-12-15,1,595
2015-12-15,2,219
2015-12-16,1,632
2015-12-16,2,199
2015-12-17,1,613
2015-12-17,2,220
2015-12-18,1,693
2015-12-18,2,418
2015-12-19,1,440
2015-12-19,2,152
2015-12-20,1,409
2015-12-20,2,146
2015-12-21,1,574
2015-12-21,2,204
2015-12-22,1,566
2015-12-22,2,215
2015-12-23,1,533
2015-12-23,2,211
2015-12-24,1,474
2015-12-24,2,173
2015-12-25,1,327
2015-12-25,2,118
2015-12-26,1,344
2015-12-26,2,142
2015-12-27,1,363
2015-12-27,2,149
2015-12-28,1,504
2015-12-28,2,218
2015-12-29,1,538
2015-12-29,2,205
2015-12-30,1,583
2015-12-30,2,204
2015-12-31,1,418
2015-12-31,2,180
2016-01-01,1,301
2016-01-01,2,145
2016-01-02,1,369
2016-01-02,2,134
2016-01-03,1,405
2016-01-03,2,139
2016-01-04,1,653
2016-01-04,2,200
2016-01-05,1,602
2016-01-05,2,229
2016-01-06,1,667
2016-01-06,2,197
2016-01-07,1,581
2016-01-07,2,222
2016-01-08,1,663
2016-01-08,2,216
2016-01-09,1,435
2016-01-09,2,146
2016-01-10,1,411
2016-01-10,2,130
2016-01-11,1,619
2016-01-11,2,204
2016-01-12,1,622
2016-01-12,2,196
2016-01-13,1,635
2016-01-13,2,191
2016-01-14,1,526
2016-01-14,2,213
2016-01-15,1,663
2016-01-15,2,187
2016-01-16,1,481
2016-01-16,2,145
2016-01-17,1,487
2016-01-17,2,134
2016-01-18,1,751
2016-01-18,2,216
2016-01-19,1,729
2016-01-19,2,233
2016-01-20,1,710
2016-01-20,2,230
2016-01-21,1,647
2016-01-21,2,236
2016-01-22,1,664
2016-01-22,2,213
2016-01-23,1,500
2016-01-23,2,156
2016-01-24,1,449
2016-01-24,2,159
2016-01-25,1,616
2016-01-25,2,242
2016-01-26,1,601
2016-01-26,2,211
2016-01-27,1,762
2016-01-27,2,241
2016-01-28,1,710
2016-01-28,2,248
2016-01-29,1,678
2016-01-29,2,222
2016-01-30,1,523
2016-01-30,2,190
2016-01-31,1,480
2016-01-31,2,170
2016-02-01,1,717
2016-02-01,2,271
2016-02-02,1,729
2016-02-02,2,266
2016-02-03,1,758
2016-02-03,2,308
2016-02-04,1,697
2016-02-04,2,269
2016-02-05,1,672
2016-02-05,2,263
2016-02-06,1,565
2016-02-06,2,205
2016-02-07,1,544
2016-02-07,2,181
2016-02-08,1,721
2016-02-08,2,235
2016-02-09,1,802
2016-02-09,2,253
2016-02-10,1,758
2016-02-10,2,267
2016-02-11,1,768
2016-02-11,2,266
2016-02-12,1,722
2016-02-12,2,266
2016-02-13,1,528
2016-02-13,2,191
2016-02-14,1,462
2016-02-14,2,178
2016-02-15,1,780
2016-02-15,2,249
2016-02-16,1,728
2016-02-16,2,298
2016-02-17,1,854
2016-02-17,2,260
2016-02-18,1,803
2016-02-18,2,277
2016-02-19,1,773
2016-02-19,2,266
2016-02-20,1,622
2016-02-20,2,208
2016-02-21,1,575
2016-02-21,2,176
2016-02-22,1,783
2016-02-22,2,257
2016-02-23,1,867
2016-02-23,2,303
2016-02-24,1,892
2016-02-24,2,280
2016-02-25,1,773
2016-02-25,2,262
2016-02-26,1,787
2016-02-26,2,266
2016-02-27,1,568
2016-02-27,2,172
2016-02-28,1,533
2016-02-28,2,178
2016-02-29,1,1032
2016-02-29,2,282
2016-03-01,1,909
2016-03-01,2,301
2016-03-02,1,854
2016-03-02,2,296
2016-03-03,1,773
2016-03-03,2,289
2016-03-04,1,750
2016-03-04,2,243
2016-03-05,1,618
2016-03-05,2,198
2016-03-06,1,549
2016-03-06,2,189
2016-03-07,1,688
2016-03-07,2,262
2016-03-08,1,785
2016-03-08,2,283
2016-03-09,1,801
2016-03-09,2,286
2016-03-10,1,743
2016-03-10,2,276
2016-03-11,1,708
2016-03-11,2,260
2016-03-12,1,588
2016-03-12,2,190
2016-03-13,1,554
2016-03-13,2,182
2016-03-14,1,816
2016-03-14,2,272
2016-03-15,1,796
2016-03-15,2,280
2016-03-16,1,851
2016-03-16,2,279
2016-03-17,1,808
2016-03-17,2,277
2016-03-18,1,725
2016-03-18,2,282
2016-03-19,1,545
2016-03-19,2,194
2016-03-20,1,531
2016-03-20,2,198
2016-03-21,1,799
2016-03-21,2,278
2016-03-22,1,786
2016-03-22,2,268
2016-03-23,1,776
2016-03-23,2,283
2016-03-24,1,666
2016-03-24,2,239
2016-03-25,1,605
2016-03-25,2,212
2016-03-26,1,494
2016-03-26,2,182
2016-03-27,1,475
2016-03-27,2,184
2016-03-28,1,724
2016-03-28,2,235
2016-03-29,1,819
2016-03-29,2,294
2016-03-30,1,880
2016-03-30,2,291
2016-03-31,1,799
2016-03-31,2,270
2016-04-01,1,783
2016-04-01,2,256
2016-04-02,1,569
2016-04-02,2,195
2016-04-03,1,564
2016-04-03,2,190
2016-04-04,1,834
2016-04-04,2,282
2016-04-05,1,834
2016-04-05,2,290
2016-04-06,1,796
2016-04-06,2,302
2016-04-07,1,839
2016-04-07,2,304
2016-04-08,1,681
2016-04-08,2,269
2016-04-09,1,573
2016-04-09,2,187
2016-04-10,1,540
2016-04-10,2,212
2016-04-11,1,765
2016-04-11,2,295
2016-04-12,1,897
2016-04-12,2,333
2016-04-13,1,827
2016-04-13,2,320
2016-04-14,1,787
2016-04-14,2,286
2016-04-15,1,768
2016-04-15,2,300
2016-04-16,1,554
2016-04-16,2,198
2016-04-17,1,562
2016-04-17,2,183
2016-04-18,1,866
2016-04-18,2,294
2016-04-19,1,884
2016-04-19,2,329
2016-04-20,1,798
2016-04-20,2,313
2016-04-21,1,792
2016-04-21,2,307
2016-04-22,1,744
2016-04-22,2,290
2016-04-23,1,600
2016-04-23,2,224
2016-04-24,1,596
2016-04-24,2,222
2016-04-25,1,950
2016-04-25,2,290
2016-04-26,1,842
2016-04-26,2,318
2016-04-27,1,801
2016-04-27,2,298
2016-04-28,1,857
2016-04-28,2,296
2016-04-29,1,791
2016-04-29,2,286
2016-04-30,1,547
2016-04-30,2,219
2016-05-01,1,564
2016-05-01,2,217
2016-05-02,1,770
2016-05-02,2,318
2016-05-03,1,902
2016-05-03,2,330
2016-05-04,1,829
2016-05-04,2,315
2016-05-05,1,830
2016-05-05,2,284
2016-05-06,1,978
2016-05-06,2,281
2016-05-07,1,612
2016-05-07,2,205
2016-05-08,1,690
2016-05-08,2,220
2016-05-09,1,970
2016-05-09,2,303
2016-05-10,1,985
2016-05-10,2,322
2016-05-11,1,941
2016-05-11,2,323
2016-05-12,1,959
2016-05-12,2,345
2016-05-13,1,876
2016-05-13,2,344
2016-05-14,1,629
2016-05-14,2,229
2016-05-15,1,612
2016-05-15,2,206
2016-05-16,1,938
2016-05-16,2,316
2016-05-17,1,946
2016-05-17,2,351
2016-05-18,1,877
2016-05-18,2,332
2016-05-19,1,1003
2016-05-19,2,322
2016-05-20,1,929
2016-05-20,2,312
2016-05-21,1,638
2016-05-21,2,198
2016-05-22,1,585
2016-05-22,2,193
2016-05-23,1,963
2016-05-23,2,296
2016-05-24,1,980
2016-05-24,2,296
2016-05-25,1,934
2016-05-25,2,324
2016-05-26,1,926
2016-05-26,2,321
2016-05-27,1,845
2016-05-27,2,303
2016-05-28,1,696
2016-05-28,2,200
2016-05-29,1,644
2016-05-29,2,194
2016-05-30,1,928
2016-05-30,2,280
2016-05-31,1,921
2016-05-31,2,303
2016-06-01,1,879
2016-06-01,2,327
2016-06-02,1,935
2016-06-02,2,330
2016-06-03,1,885
2016-06-03,2,306
2016-06-04,1,613
2016-06-04,2,209
2016-06-05,1,576
2016-06-05,2,203
2016-06-06,1,971
2016-06-06,2,294
2016-06-07,1,976
2016-06-07,2,340
2016-06-08,1,1019
2016-06-08,2,322
2016-06-09,1,928
2016-06-09,2,328
2016-06-10,1,851
2016-06-10,2,282
2016-06-11,1,596
2016-06-11,2,213
2016-06-12,1,579
2016-06-12,2,196
2016-06-13,1,938
2016-06-13,2,309
2016-06-14,1,947
2016-06-14,2,333
2016-06-15,1,914
2016-06-15,2,343
2016-06-16,1,1013
2016-06-16,2,338
2016-06-17,1,933
2016-06-17,2,325
2016-06-18,1,719
2016-06-18,2,198
2016-06-19,1,613
2016-06-19,2,202
2016-06-20,1,1044
2016-06-20,2,295
2016-06-21,1,1089
2016-06-21,2,327
2016-06-22,1,1029
2016-06-22,2,312
2016-06-23,1,1015
2016-06-23,2,311
2016-06-24,1,892
2016-06-24,2,298
2016-06-25,1,660
2016-06-25,2,195
2016-06-26,1,647
2016-06-26,2,177
2016-06-27,1,986
2016-06-27,2,280
2016-06-28,1,1035
2016-06-28,2,331
2016-06-29,1,1122
2016-06-29,2,339
2016-06-30,1,1057
2016-06-30,2,305
2016-07-01,1,989
2016-07-01,2,302
2016-07-02,1,648
2016-07-02,2,199
2016-07-03,1,603
2016-07-03,2,176
2016-07-04,1,933
2016-07-04,2,313
2016-07-05,1,973
2016-07-05,2,314
2016-07-06,1,916
2016-07-06,2,306
2016-07-07,1,948
2016-07-07,2,290
2016-07-08,1,918
2016-07-08,2,295
2016-07-09,1,695
2016-07-09,2,249
2016-07-10,1,622
2016-07-10,2,211
2016-07-11,1,1105
2016-07-11,2,296
2016-07-12,1,1063
2016-07-12,2,320
2016-07-13,1,1025
2016-07-13,2,323
2016-07-14,1,1082
2016-07-14,2,299
2016-07-15,1,1028
2016-07-15,2,314
2016-07-16,1,690
2016-07-16,2,213
2016-07-17,1,658
2016-07-17,2,198
2016-07-18,1,1055
2016-07-18,2,312
2016-07-19,1,1128
2016-07-19,2,316
2016-07-20,1,1147
2016-07-20,2,343
2016-07-21,1,1183
2016-07-21,2,330
2016-07-22,1,1068
2016-07-22,2,320
2016-07-23,1,786
2016-07-23,2,199
2016-07-24,1,733
2016-07-24,2,206
