Date, Close,,,,
03/14/25,2420,,,,
03/13/25,2430,,,,
03/12/25,2450,,,,
03/11/25,2370,,,,
03/10/25,2390,,,,
03/07/25,2410,,,,
03/06/25,2400,,,,
03/05/25,2450,,,,
03/04/25,2380,,,,
03/03/25,2400,,,,
02/28/25,2350,,,,
02/27/25,2490,,,,
02/26/25,2520,,,,
02/25/25,2460,,,,
02/24/25,2600,,,,
02/21/25,2650,,,,
02/20/25,2670,,,,
02/19/25,2670,,,,
02/18/25,2680,,,,
02/17/25,2650,,,,
02/14/25,2530,,,,
02/13/25,2420,,,,
02/12/25,2480,,,,
02/11/25,2320,,,,
02/10/25,2440,,,,
02/07/25,2590,,,,
02/06/25,2560,,,,
02/05/25,2620,,,,
02/04/25,2640,,,,
02/03/25,2630,,,,
01/31/25,2660,,,,
01/30/25,2640,,,,
01/24/25,2690,,,,
01/23/25,2710,,,,
01/22/25,2730,,,,
01/21/25,2630,,,,
01/20/25,2610,,,,
01/17/25,2660,,,,
01/16/25,2590,,,,
01/15/25,2630,,,,
01/14/25,2620,,,,
01/13/25,2670,,,,
01/10/25,2680,,,,
01/09/25,2620,,,,
01/08/25,2650,,,,
01/07/25,2570,,,,
01/06/25,2690,,,,
01/03/25,2750,,,,
01/02/25,2700,,,,
12/30/24,2710,,,,
12/27/24,2750,,,,
12/24/24,2740,,,,
12/23/24,2650,,,,
12/20/24,2550,,,,
12/19/24,2530,,,,
12/18/24,2570,,,,
12/17/24,2620,,,,
12/16/24,2660,,,,
12/13/24,2790,,,,
12/12/24,2820,,,,
12/11/24,2860,,,,
12/10/24,2770,,,,
12/09/24,2740,,,,
12/06/24,2760,,,,
12/05/24,2770,,,,
12/04/24,2840,,,,
12/03/24,2820,,,,
12/02/24,2680,,,,
11/29/24,2710,,,,
11/28/24,2720,,,,
11/26/24,2710,,,,
11/25/24,2740,,,,
11/22/24,2750,,,,
11/21/24,2770,,,,
11/20/24,2680,,,,
11/19/24,2780,,,,
11/18/24,2590,,,,
11/15/24,2540,,,,
11/14/24,2530,,,,
11/13/24,2580,,,,
11/12/24,2600,,,,
11/11/24,2690,,,,
11/08/24,2750,,,,
11/07/24,2760,,,,
11/06/24,2740,,,,
11/05/24,2770,,,,
11/04/24,2800,,,,
11/01/24,2780,,,,
10/31/24,2820,,,,
10/30/24,2900,,,,
10/29/24,2900,,,,
10/28/24,2920,,,,
10/25/24,2910,,,,
10/24/24,2900,,,,
10/23/24,2940,,,,
10/22/24,3010,,,,
10/21/24,3100,,,,
10/18/24,3100,,,,
10/17/24,3040,,,,
10/16/24,3000,,,,
10/15/24,2940,,,,
10/14/24,2900,,,,
10/11/24,2940,,,,
10/10/24,2950,,,,
10/09/24,2960,,,,
10/08/24,2990,,,,
10/07/24,2900,,,,
10/04/24,2880,,,,
10/03/24,2890,,,,
10/02/24,2920,,,,
10/01/24,3020,,,,
09/30/24,2990,,,,
09/27/24,3050,,,,
09/26/24,3170,,,,
09/25/24,3190,,,,
09/24/24,3160,,,,
09/23/24,3170,,,,
09/20/24,3150,,,,
09/19/24,3140,,,,
09/18/24,3120,,,,
09/17/24,3090,,,,
09/13/24,3110,,,,
09/12/24,3050,,,,
09/11/24,3040,,,,
09/10/24,3030,,,,
09/09/24,3030,,,,
09/06/24,3040,,,,
09/05/24,3020,,,,
09/04/24,3080,,,,
09/03/24,3080,,,,
09/02/24,3140,,,,
08/30/24,3060,,,,
08/29/24,3030,,,,
08/28/24,2980,,,,
08/27/24,2990,,,,
08/26/24,2980,,,,
08/23/24,2950,,,,
08/22/24,2920,,,,
08/21/24,2970,,,,
08/20/24,2980,,,,
08/19/24,2930,,,,
08/16/24,2960,,,,
08/15/24,2870,,,,
08/14/24,2860,,,,
08/13/24,2850,,,,
08/12/24,2870,,,,
08/09/24,2830,,,,
08/08/24,2850,,,,
08/07/24,2820,,,,
08/06/24,2790,,,,
08/05/24,2790,,,,
08/02/24,2850,,,,
08/01/24,2880,,,,
07/31/24,2880,,,,
07/30/24,2880,,,,
07/29/24,3050,,,,
07/26/24,3100,,,,
07/25/24,3090,,,,
07/24/24,3060,,,,
07/23/24,3160,,,,
07/22/24,3100,,,,
07/19/24,3140,,,,
07/18/24,3210,,,,
07/17/24,3250,,,,
07/16/24,3100,,,,
07/15/24,3160,,,,
07/12/24,3220,,,,
07/11/24,3180,,,,
07/10/24,3160,,,,
07/09/24,3080,,,,
07/08/24,3080,,,,
07/05/24,3020,,,,
07/04/24,2960,,,,
07/03/24,3030,,,,
07/02/24,3040,,,,
07/01/24,3090,,,,
06/28/24,3130,,,,
06/27/24,3030,,,,
06/26/24,3000,,,,
06/25/24,2990,,,,
06/24/24,2950,,,,
06/21/24,2950,,,,
06/20/24,2840,,,,
06/19/24,2830,,,,
06/14/24,2720,,,,
06/13/24,2840,,,,
06/12/24,2920,,,,
06/11/24,2880,,,,
06/10/24,3010,,,,
06/07/24,3050,,,,
06/06/24,3050,,,,
06/05/24,3060,,,,
06/04/24,3000,,,,
06/03/24,2930,,,,
05/31/24,2900,,,,
05/30/24,2810,,,,
05/29/24,2810,,,,
05/28/24,2860,,,,
05/27/24,2810,,,,
05/22/24,2940,,,,
05/21/24,2950,,,,
05/20/24,2990,,,,
05/17/24,2990,,,,
05/16/24,3010,,,,
05/15/24,3100,,,,
05/14/24,3120,,,,
05/13/24,3090,,,,
05/08/24,3080,,,,
05/07/24,3090,,,,
05/06/24,3050,,,,
05/03/24,3160,,,,
05/02/24,3120,,,,
04/30/24,3170,,,,
04/29/24,3080,,,,
04/26/24,3030,,,,
04/25/24,3040,,,,
04/24/24,3040,,,,
04/23/24,3100,,,,
04/22/24,3170,,,,
04/19/24,3150,,,,
04/18/24,3250,,,,
04/17/24,3200,,,,
04/16/24,3220,,,,
04/05/24,3430,,,,
04/04/24,3450,,,,
04/03/24,3420,,,,
04/02/24,3490,,,,
04/01/24,3510,,,,
03/28/24,3470,,,,
03/27/24,3490,,,,
03/26/24,3620,,,,
03/25/24,3730,,,,
03/22/24,3900,,,,
03/21/24,3890,,,,
03/20/24,3930,,,,
03/19/24,3940,,,,
03/18/24,3920,,,,
03/15/24,3970,,,,
03/14/24,3960,,,,
03/13/24,3900,,,,
03/08/24,3860,,,,
03/07/24,3900,,,,
03/06/24,3900,,,,
03/05/24,3870,,,,
03/04/24,3940,,,,
03/01/24,3920,,,,
